,channelName,date,dislikes,title,likes,Subscribers,url,Views,Keywords,id
40,Flipside,2021-03-15,16,beginner full course,589,8210,https://www.youtube.com/watch?v=tGYPo3ANxB4,15830,beginner full course,41
41,Aaron Jack,2019-12-09,953,learn python hour,36000,234000,https://www.youtube.com/watch?v=c-I5S_zTwAc,856193,learn python hour,42
42,SalC1,2020-09-01,1900,python full course,47000,608000,https://www.youtube.com/watch?v=7TBhMCTRIkI,830432,python full course,43
43,Bro Code,2020-11-09,161,full course beginner,42000,93100,https://www.youtube.com/watch?v=xk4_1vDrzzo,636862,full course beginner,44
44,Simplilearn,,38,library data science,2200,1090000,https://www.youtube.com/watch?v=CFD9EFcNZTQ,89251,library data science,45
45,Duckademy IT courses,2015-12-14,300,tableau full course,7700,26700,https://www.youtube.com/watch?v=JPOzWljLYuU,860542,tableau full course,46
46,Sundeep Saradhi Kanthety,2021-04-15,18,tableau tutorial beginner,1200,280000,https://www.youtube.com/watch?v=ZFnRvpxpnOc,36122,tableau tutorial beginner,47
47,Geek's Lesson,2020-06-07,22,interview question answer,1400,410000,https://www.youtube.com/watch?v=S0V20PHPR4M,56201,interview question answer,48
48,Bro Code,2019-12-30,3,data analysis python,438,93100,https://www.youtube.com/watch?v=A3jE0GHpRis,12789,data analysis python,49
49,edureka!,2017-03-15,184,hadoop tutorial hadoop,4900,2670000,https://www.youtube.com/watch?v=aqHhpahguVY,565072,hadoop tutorial hadoop,50
50,Programming with Mosh,2019-07-15,1300,hadoop hadoop tutorial,118000,1780000,https://www.youtube.com/watch?v=eIrMbAQSU34,4340392,hadoop hadoop tutorial,51
51,Math and Science,2016-08-19,7,tutorial hadoop training,809,730000,https://www.youtube.com/watch?v=ejI4iHiumrg,75719,tutorial hadoop training,52
52,Manocha Academy,,51,tutorial beginner microsoft,1400,505000,https://www.youtube.com/watch?v=Qow6HcWCRAs,20086,tutorial beginner microsoft,53
